kind,parent_hierarchy,code,lat,lng
4,6:76,1,-2.0953,-58.3717
4,6:76,2,-10.0626,-42.5510
4,6:76,3,-20.3332,-46.2092
4,6:76,4,-25.4342,-49.2663
4,6:76,5,-15.6280,-52.7226
