kind,parent_hierarchy,parents,code,name,abbr,lat,lng
4,6:76,3=76,1,Norte,N,,
4,6:76,3=76,2,Nordeste,NE,,
4,6:76,3=76,3,Sudeste,SE,,
4,6:76,3=76,4,Sul,S,,
4,6:76,3=76,5,Centro-Oeste,CO,,
